GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
file-storing-service,com.kosmoskan.storing.model,Work,0,59,0,0,0,17,0,17,0,17
file-storing-service,com.kosmoskan.storing.service,WorkService,18,215,2,8,6,48,2,13,0,10
file-storing-service,com.kosmoskan.storing.controller,WorkController,0,55,0,0,0,14,0,6,0,6
file-storing-service,com.kosmoskan.storing,StoringApplication,5,3,0,0,2,1,1,1,1,1
file-storing-service,com.kosmoskan.storing.dto,WorkDto,231,45,54,0,0,7,31,13,4,13
